RTE_NBR,BIN_START,BIN_END,AADT_WT,URBAN,CRASH_COUNT,CRASHRATE
6.0,27.0,30.0,2085.6266666666666,0,0.0,0.0
6.0,30.0,33.0,2394.866666666667,0,0.0,0.0
6.0,33.0,36.0,2362.0,0,0.0,0.0
6.0,36.0,39.0,2362.0,0,0.0,0.0
6.0,39.0,42.0,2362.0,0,0.0,0.0
6.0,42.0,45.0,2362.0,0,0.0,0.0
6.0,45.0,48.0,5069.8466666666645,0,0.0,0.0
6.0,48.0,51.0,8576.89,0,0.0,0.0
7.0,0.0,3.0,3793.89,0,0.0,0.0
7.0,3.0,6.0,2847.0533333333333,0,0.0,0.0
7.0,6.0,9.0,2197.0,0,0.0,0.0
7.0,9.0,12.0,2197.0,0,0.0,0.0
7.0,12.0,15.0,2204.6,0,0.0,0.0
7.0,15.0,18.0,3475.213333333333,0,0.0,0.0
7.0,18.0,21.0,5348.0,0,0.0,0.0
7.0,21.0,24.0,3161.200000000001,0,0.0,0.0
7.0,24.0,27.0,2502.1133333333332,0,0.0,0.0
7.0,27.0,30.0,2169.0,0,0.0,0.0
7.0,30.0,33.0,2169.0,0,0.0,0.0
7.0,33.0,36.0,2169.0,0,0.0,0.0
7.0,36.0,39.0,5656.3466666666645,0,0.0,0.0
7.0,39.0,42.0,9101.563333333334,0,0.0,0.0
7.0,42.0,45.0,16445.116666666672,0,0.0,0.0
7.0,45.0,48.0,26286.440000000002,0,47.0,163.28713370552933
7.0,48.0,51.0,37158.17666666667,1,257.0,631.632704834993
7.0,51.0,54.0,34564.719999999994,1,254.0,671.098942273031
7.0,54.0,57.0,24364.133333333335,1,155.0,580.9872630349739
8.0,0.0,3.0,15605.44,0,11.0,64.37282191631009
8.0,3.0,6.0,15225.0,0,8.0,47.98644382961813
8.0,6.0,9.0,15243.6,0,19.0,113.82874238051366
8.0,9.0,12.0,15942.433333333334,0,12.0,68.74047317905699
8.0,12.0,15.0,15714.0,0,11.0,63.92810296841429
8.0,15.0,18.0,16027.963333333333,0,21.0,119.65389359168415
9.0,0.0,3.0,20509.98,0,0.0,0.0
9.0,3.0,6.0,20545.29,0,0.0,0.0
9.0,6.0,9.0,20519.653333333332,0,0.0,0.0
9.0,9.0,12.0,19690.513333333332,0,0.0,0.0
9.0,12.0,15.0,18679.11333333333,0,0.0,0.0
9.0,15.0,18.0,23941.58,0,0.0,0.0
9.0,18.0,21.0,13200.130000000003,0,0.0,0.0
9.0,21.0,24.0,10462.960000000001,0,0.0,0.0
9.0,24.0,27.0,9865.18,0,0.0,0.0
9.0,27.0,30.0,10002.773333333333,0,0.0,0.0
9.0,30.0,33.0,5586.449999999998,0,0.0,0.0
9.0,33.0,36.0,1497.800000000001,0,0.0,0.0
9.0,36.0,39.0,829.0,0,0.0,0.0
9.0,39.0,42.0,1174.6133333333335,0,0.0,0.0
9.0,42.0,45.0,1343.8966666666674,0,0.0,0.0
9.0,45.0,48.0,2144.986666666666,0,0.0,0.0
9.0,48.0,51.0,4839.320000000001,0,0.0,0.0
9.0,51.0,54.0,6833.44,0,0.0,0.0
9.0,54.0,57.0,8139.799999999998,0,0.0,0.0
9.0,57.0,60.0,9075.033333333336,0,0.0,0.0
9.0,60.0,63.0,5132.033333333336,0,0.0,0.0
9.0,63.0,66.0,3589.0,0,0.0,0.0
9.0,66.0,69.0,2650.900000000002,0,0.0,0.0
9.0,69.0,72.0,1999.0,0,0.0,0.0
9.0,72.0,75.0,1999.0,0,0.0,0.0
9.0,75.0,78.0,1999.0,0,0.0,0.0
9.0,78.0,81.0,3399.3733333333344,0,0.0,0.0
9.0,81.0,84.0,3938.4133333333334,0,0.0,0.0
9.0,84.0,87.0,2309.1833333333348,0,0.0,0.0
9.0,87.0,90.0,1757.6533333333334,0,0.0,0.0
9.0,90.0,93.0,4288.596666666671,0,0.0,0.0
9.0,93.0,96.0,4383.703333333324,0,11.0,229.15925957101666
10.0,0.0,3.0,1190.0,0,0.0,0.0
10.0,3.0,6.0,1190.0,0,0.0,0.0
10.0,6.0,9.0,1190.0,0,0.0,0.0
10.0,9.0,12.0,1190.0,0,0.0,0.0
10.0,12.0,15.0,1190.0,0,0.0,0.0
11.0,0.0,3.0,5298.74,0,0.0,0.0
11.0,3.0,6.0,3126.5,0,0.0,0.0
11.0,6.0,9.0,1664.96,0,0.0,0.0
11.0,9.0,12.0,1606.0,0,0.0,0.0
11.0,12.0,15.0,1627.36,0,0.0,0.0
11.0,15.0,18.0,2044.823333333333,0,0.0,0.0
11.0,18.0,21.0,7115.216666666671,0,0.0,0.0
12.0,0.0,3.0,21093.823333333334,1,9.0,38.96485692664115
12.0,3.0,6.0,20537.646666666667,1,21.0,93.38013504199355
12.0,6.0,9.0,18878.676666666666,0,22.0,106.42337148761968
12.0,9.0,12.0,20085.563333333335,0,14.0,63.65461558469548
12.0,12.0,15.0,21030.0,0,11.0,47.76824584144851
12.0,15.0,18.0,20404.14,0,16.0,71.61229116306161
12.0,18.0,21.0,19879.179999999997,0,12.0,55.12754605365534
12.0,21.0,24.0,7844.013333333333,0,13.0,151.3529568884142
12.0,24.0,27.0,5775.760000000001,0,6.0,94.86980163293696
12.0,27.0,30.0,4635.0,0,7.0,137.9222020264712
12.0,30.0,33.0,4635.0,0,6.0,118.2190303084039
12.0,33.0,36.0,4723.239999999999,0,5.0,96.67537634467233
12.0,36.0,39.0,6083.533333333334,0,12.0,180.140446499113
12.0,39.0,42.0,8892.76,0,7.0,71.88650164771052
12.0,42.0,45.0,10751.513333333336,0,12.0,101.9289449757061
12.0,45.0,48.0,8607.22,0,16.0,169.76296813743258
12.0,48.0,51.0,7051.0,0,0.0,0.0
12.0,51.0,54.0,7051.0,0,0.0,0.0
12.0,54.0,57.0,7051.0,0,0.0,0.0
12.0,57.0,60.0,7051.0,0,0.0,0.0
12.0,60.0,63.0,7051.0,0,0.0,0.0
12.0,63.0,66.0,7051.0,0,0.0,0.0
12.0,66.0,69.0,7360.783333333337,0,14.0,173.69602593728305
12.0,69.0,72.0,6779.796666666666,0,14.0,188.5807017003049
12.0,72.0,75.0,7457.153333333332,0,7.0,85.72566203448869
12.0,75.0,78.0,7578.623333333334,0,5.0,60.25118078607196
12.0,78.0,81.0,6512.786666666668,0,11.0,154.24521966720778
12.0,81.0,84.0,5897.483333333334,0,6.0,92.91170055240265
12.0,84.0,87.0,5474.000000000001,0,3.0,50.04979955055279
12.0,87.0,90.0,4586.0,0,7.0,139.3958583499115
12.0,90.0,93.0,4586.0,0,3.0,59.74108214996207
12.0,93.0,96.0,4586.0,0,6.0,119.48216429992414
12.0,96.0,99.0,4754.129999999998,0,4.0,76.83778181349018
12.0,99.0,102.0,4913.0,0,2.0,37.17655237665052
12.0,102.0,105.0,4872.493333333334,0,3.0,56.228420235169
