CASENO,VEHNO,DRV_AGE,CONTRIB1,VEHTYPE
2002039823,1,29.0,11.0,1
2002039824,1,42.0,7.0,6
2002039825,1,52.0,4.0,2
2002039826,1,21.0,7.0,1
2002039827,1,49.0,20.0,1
2002039828,1,20.0,1.0,1
2002039829,1,22.0,5.0,2
2002039830,1,52.0,4.0,2
2002039831,1,17.0,4.0,1
2002039832,1,19.0,4.0,1
2002039833,1,32.0,18.0,1
2002039834,1,22.0,11.0,1
2002039835,1,20.0,4.0,2
2002039836,1,46.0,18.0,1
2002039837,1,30.0,18.0,1
2002039838,1,53.0,4.0,1
2002039839,1,18.0,11.0,2
2002039840,1,47.0,4.0,1
2002039841,1,48.0,18.0,2
2002039842,1,59.0,5.0,2
2002039843,1,24.0,18.0,2
2002039844,1,18.0,5.0,1
2002039845,1,36.0,18.0,1
2002039846,1,62.0,4.0,2
2002039847,1,49.0,4.0,2
2002039848,1,39.0,1.0,1
2002039849,1,38.0,4.0,1
2002039850,1,16.0,4.0,1
2002039851,1,56.0,7.0,1
2002039852,1,34.0,1.0,1
2002039853,1,25.0,4.0,2
2002039854,1,52.0,4.0,2
2002039855,1,18.0,4.0,2
2002039856,1,,7.0,1
2002039857,1,42.0,7.0,1
2002039858,1,70.0,11.0,2
2002039859,1,48.0,4.0,1
2002039860,1,22.0,4.0,1
2002039861,1,51.0,5.0,2
2002039862,1,,24.0,0
2002039863,1,26.0,4.0,1
2002039864,1,35.0,7.0,3
2002039865,1,63.0,4.0,2
2002039866,1,,7.0,0
2002039867,1,22.0,7.0,1
2002039868,1,33.0,4.0,1
2002039869,1,19.0,4.0,1
2002039870,1,26.0,7.0,1
2002039871,1,67.0,4.0,1
2002039872,1,28.0,7.0,1
2002039873,1,46.0,4.0,2
2002039874,1,37.0,14.0,1
2002039875,1,87.0,5.0,1
2002039876,1,51.0,18.0,3
2002039877,1,46.0,18.0,1
2002039878,1,17.0,5.0,1
2002039879,1,49.0,23.0,1
2002039880,1,39.0,5.0,2
2002039881,1,16.0,17.0,2
2002039882,1,57.0,4.0,1
2002039883,1,20.0,5.0,2
2002039884,1,36.0,23.0,1
2002039885,1,64.0,4.0,1
2002039886,1,73.0,4.0,2
2002039887,1,35.0,4.0,2
2002039888,1,56.0,4.0,2
2002039889,1,57.0,4.0,2
2002039890,1,19.0,5.0,1
2002039891,1,26.0,11.0,2
2002039892,1,83.0,5.0,1
2002039893,1,67.0,5.0,1
2002039894,1,48.0,4.0,1
2002039895,1,44.0,18.0,4
2002039896,1,25.0,4.0,2
2002039897,1,22.0,4.0,1
2002039898,1,,4.0,0
2002039899,1,42.0,4.0,2
2002039900,1,,16.0,6
2002039901,1,62.0,14.0,2
